name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCCC(=CCO)C)C,C10H18O,154.25,2.524,"135.11792,68.44;107.08662,51.63;121.10227,84.62;123.11792,100;43.01894,40.01;51.02402,15.42;63.02402,91.13;65.00329,23.68;65.03967,100;67.01894,29.75;67.05532,39.79;69.03459,20.77;69.07097,14.44;79.05532,79.79;81.07097,22.6;93.07097,14.6;95.08662,56.13;105.07097,18;109.10227,27.16;111.11792,22.28;119.08662,20.69",106-25-2,DTXSID3026728
Isopentyl butyrate,CCCC(=O)OCCC(C)C,C9H18O2,158.24,2.921,"85.06589,49.57;87.04515,100;87.08154,36.975;59.01385,36.29;69.03459,76.115;85.0295,32.56;67.01894,22.64",106-27-4,DTXSID3042059
Ethyl heptanoate,CCCCCCC(=O)OCC,C9H18O2,158.24,3.193,"111.08154,100;93.07097,64.9484009400225;109.06589,38.1986308368244;113.09719,12.5932359252069;41.00329,15.4746091754368;43.01894,15.3877592725043;44.9982,41.5959946868295;45.03459,15.1476448349852;55.01894,16.2664759374681;57.03459,51.0881781955655;59.01385,9.65566567896189;69.03459,7.85225298865842;71.05024,9.94175947685706;83.05024,10.8153673240012;99.04515,9.91621538775927;101.0608,34.2801675692245;127.07645,7.59170327986104;129.0921,8.17921732911005",106-30-9,DTXSID1040112
4-Chlorotoluene,CC1=CC=C(C=C1)Cl,C7H7Cl,126.58,1.996,"99.0007,6.99077359829666;96.98505,7.22143364088006;49.00837,32.1504613200852;65.03967,100",106-43-4,DTXSID2027593
4-Methylphenol,CC1=CC=C(C=C1)O,C7H8O,108.14,1.338,"79.01894,0.82;77.00329,3.73;41.00329,100;49.00837,12.36;51.02402,11.71;65.03967,14.4",106-44-5,DTXSID7021869
"1,4-Dichlorobenzene",C1=CC(=CC=C1Cl)Cl,C6H4Cl2,147,1.97,"118.94608,28.390993959363;34.9694,100",106-46-7,DTXSID1020431
4-Chloroaniline,C1=CC(=CC=C1N)Cl,C6H6ClN,127.57,0.901,"99.99595,3.04561403508772;97.9803,4.7719298245614;34.9694,45.7824561403509;40.01927,38.1052631578947;50.00362,55.8035087719298;76.01927,100",106-47-8,DTXSID9020295
4-Methylaniline,CC1=CC=C(C=C1)N,C7H9N,107.15,0.927,"78.03492,43.53;76.01927,10.9;40.01927,100;49.00837,30.95;50.00362,43.59;80.05057,48.72;90.03492,52.87",106-49-0,NA
Dimethyl succinate,COC(=O)CCC(=O)OC,C6H10O4,146.14,-0.068,"41.00329,100;83.01385,32.7713800945814;113.02442,61.8605826504458;55.01894,49.4422584022238;80.9982,5.56658604382513;85.0295,26.6019277282409;96.99312,7.34991516551749;57.03459,21.9414461571784;71.01385,9.80470019132883;73.0295,8.48344825096567;101.02442,22.1688747698639",106-65-0,DTXSID5025152
4-Vinyl-1-cyclohexene dioxide,C1CC2C(O2)CC1C3CO3,C8H12O2,140.18,0.617,"97.06589,94.34;41.00329,100;43.01894,23.69;95.05024,25.05;137.0608,33.84",106-87-6,DTXSID0020604
N-(5-fluoro-3-methyl-1H-indol-1-yl)-4-methyl-2-(pyridin-2-yl)pyrimidine-5-carboxamide,CC1=CN(C2=C1C=C(C=C2)F)NC(=O)C3=CN=C(N=C3C)C4=CC=CC=N4,C20H16FN5O,361.4,0.169,"196.05164,69.6441740412979;41.99854,41.4546460176991;163.0677,83.2503687315634;170.07237,100;189.04696,10.3613569321534;230.07351,25.2765486725664;18.99895,19.3676253687316;66.03492,13.9564896755162;95.03025,49.4837758112094;103.03017,92.1828908554572;105.04582,35.591814159292;107.02509,9.23672566371681;109.04074,32.26401179941;119.03025,10.1032448377581;119.06147,22.7691740412979;121.0459,23.5066371681416;144.05672,12.0298672566372;146.04115,49.4192477876106;148.0568,12.9516961651917;160.05164,10.5733775811209;187.06253,10.6379056047198;191.06261,13.0346607669617;213.07818,46.3403392330383;238.0786,11.2094395280236;256.08916,10.1769911504425;291.10515,11.384587020649;307.10006,51.5578908554572;309.11571,10.7208702064897;333.11571,9.33812684365782;334.11096,20.8056784660767;342.11605,26.3366519174041",1068967-96-3,DTXSID8047391
2-Chloroethanol,C(CCl)O,C2H5ClO,80.51,0.266,"43.01894,20.325;34.9694,100",107-07-3,DTXSID1021877
Ethylene glycol,C(CO)O,C2H6O2,62.07,-1.208,"43.01894,100;59.01385,12.9621125143513",107-21-1,DTXSID8020597
Tebuconazole,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,C16H22ClN3O,307.82,2.298,"68.02542,100;223.08952,87.6628010704728;34.9694,14.335414808207;41.01452,4.19268510258698;82.04107,12.0338983050847;111.0007,18.1623550401427;205.07895,7.65388046387154;221.07387,3.91614629794826;288.1273,6.03033006244425",107534-96-3,DTXSID9032113
"1,3-Butanediol",CC(CCO)O,C4H10O2,90.12,-0.39,"59.05024,36.8571606243393;43.01894,100;57.03459,94.0177849636217;71.05024,62.1851874883403;73.0295,37.7712828804179;55.01894,17.2688265655121",107-88-0,DTXSID8026773
Butanoic acid,CCCC(=O)O,C4H8O2,88.11,0.742,"59.01385,23.86;41.00329,43.76;43.01894,100;51.02402,54.46;69.03459,53.46",107-92-6,DTXSID8021515
4-Methyl-2-pentanol,CC(C)CC(C)O,C6H14O,102.17,1.819,"99.08154,92.8154353896928;43.01894,100;57.03459,53.4230346111534;67.05532,59.5328763645595;85.06589,28.3151392062283",108-11-2,DTXSID2026781
3-Methylaniline,CC1=CC(=CC=C1)N,C7H9N,107.15,0.927,"66.03492,90.1494049126361;90.03492,86.9840465940744;40.01927,100;64.01927,78.1463661686503",108-44-1,DTXSID1026792
"1,3-Benzenediamine",C1=CC(=CC(=C1)N)N,C6H8N2,108.14,-0.168,"66.03492,5.59;91.03017,18.48;40.01927,100;64.01927,51.11;65.01452,54.49",108-45-2,DTXSID4021137
Resorcinol,C1=CC(=CC(=C1)O)O,C6H6O2,110.11,0.654,"41.00329,100;39.02402,6.67720804156314;67.01894,9.02642873277615;63.02402,8.65145696860176",108-46-3,DTXSID2021238
Dimethyl malonate,COC(=O)CC(=O)OC,C5H8O4,132.11,0.343,"73.0295,35.935;99.00877,64.585;41.00329,100;68.9982,37.985;71.01385,30.53",108-59-8,NA
"1,3,5-Trimethylbenzene",CC1=CC(=CC(=C1)C)C,C9H12,120.19,3.258,"79.05532,0.56497175141243;103.05532,85.4519774011299;63.02402,100",108-67-8,NA
Cyclohexylamine,C1CCC(CC1)N,C6H13N,99.17,1.262,"81.07097,7.02;96.08187,100",108-91-8,DTXSID1023996
Phenol,C1=CC=C(C=C1)O,C6H6O,94.11,0.946,"65.03967,100;41.00329,78.5454545454545;49.00837,56.9350649350649",108-95-2,DTXSID5021124
Dibutyl decanedioate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,C18H34O4,314.5,5.624,"239.16527,100;257.17583,47.5610889157298;59.01385,27.1021090773948;69.03459,3.04747746910713;115.07645,14.5777199665521;125.09719,3.47486760196971;139.11284,21.731859147078;141.0921,29.4062993589148;141.12849,3.7350181176252;143.10775,17.5880330762798;155.10775,45.5635045990895;157.1234,30.3818637926229;167.10775,4.77562018024714;183.10267,48.6388553377311;185.11832,42.4416984112236;199.17035,5.56536281705844;209.1547,3.64210721917681;213.186,3.81863792622875;241.18092,37.1457771996655;243.19657,7.2563411688191;255.16018,22.9861562761312;259.19148,18.387066802936;295.22787,7.65585803214717;44.9982,6.98689956331877;73.0295,14.3640249001208;73.06589,25.7734832295828;127.07645,6.12282820774877;137.09719,12.9146148843259;153.0921,28.5236458236551;187.13397,14.3826070798105;199.09758,92.910898448388;201.11323,78.9649725912849;203.12888,33.6523274180061;227.12888,25.2160178388925;229.14453,20.458979838335;245.21222,9.01235714949363;261.20713,10.2759453683917",109-43-3,DTXSID1041847
2-Methoxyethanol,COCCO,C3H8O2,76.09,-0.689,"57.03459,100;31.01894,21.0368327113419;73.0295,64.1651792957975;41.00329,69.479149764725;59.01385,81.1293201362973",109-86-4,DTXSID5024182
Di-tert-butyl peroxide (DTBP),CC(C)(C)OOC(C)(C)C,C8H18O2,146.23,2.746,"89.0608,0.91;129.0921,3.13;57.07097,100;113.0608,89.06",110-05-4,DTXSID2024955
Mepanipyrim,CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2,C14H13N3,223.27,1.692,"117.04582,100;40.01927,2.92738478027867;63.02402,2.80010718113612;65.01452,5.21168274383708;91.03017,3.20203644158628;165.04582,2.93408360128617;206.07237,3.07475884244373",110235-47-7,DTXSID4042121
"N,N-Methylenebisacrylamide",C=CC(=O)NCNC(=O)C=C,C7H10N2O2,154.17,-0.069,"41.99854,82.6898837589281;70.02984,100;99.05639,16.8899677886186;43.03017,83.7402548900612;44.01419,12.4924139862751;41.01452,4.96242005508613;45.04582,7.81476121562952;55.01894,4.00541524672051;97.04074,7.50665235049718",110-26-9,DTXSID8025595
Sorbic acid,CC=CC=CC(=O)O,C6H8O2,112.13,1.43,"67.05532,100;59.01385,16.8111753371869;75.02402,28.7641067987889;93.03459,42.1965317919075;49.00837,34.0765207817231;51.02402,42.4373795761079;63.02402,65.18717313515;65.03967,68.8136526286815",110-44-1,DTXSID3021277
Dimethomorph,COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,C21H22ClNO4,387.9,1.723,"354.09024,26.3592622293504;34.9694,100;82.02984,14.4747393744988;96.0091,9.41459502806736;96.04549,11.355252606255;98.02475,12.3576583801123;112.0404,11.5557337610265;124.0404,57.906976744186;126.05605,17.9470729751403;245.03748,38.3239775461107;261.06878,18.1716118684844;269.03748,59.9037690457097;271.05313,10.8981555733761;273.06878,25.6134723336006;285.0324,48.6367281475541;299.04805,66.1267040898155;330.09024,8.40417000801925;356.10589,15.8861267040898;368.10589,12.6623897353649;370.08516,22.3656776263031;93.03459,2.72654370489174;229.04257,6.30312750601443;255.02183,3.39214113873296;257.03748,11.6279069767442;270.03273,6.56776263031275;272.04838,9.48676824378508;274.06403,5.63753007217321;286.06403,7.81074578989575;296.04838,3.27185244587009;298.06403,2.63031275060144;314.05894,2.49398556535686;328.07459,2.75060144346431;340.07459,4.30633520449078;342.09024,5.76583801122694;344.10589,2.55813953488372;358.12154,2.67842822774659;384.10081,3.80112269446672",110488-70-5,DTXSID7034545
Pentanal,CCCCC=O,C5H10O,86.13,1.725,"57.07097,26.72;67.05532,33.89;41.00329,100;43.01894,24.19;53.03967,19.78;55.01894,71.7;57.03459,16.53",110-62-3,DTXSID7021653
2-Ethoxyethanol,CCOCCO,C4H10O2,90.12,-0.266,"59.01385,100;61.0295,54.77;43.01894,28.2233333333333;71.05024,10.79",110-80-5,DTXSID7024087
Piperazine,C1CNCCN1,C4H10N2,86.14,-0.772,"68.05057,7.60456273764259;42.03492,100",110-85-0,DTXSID1021164
Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,C19H20N2O3S,356.4,0.425,"284.11146,18.825;353.09654,4.37;32.98044,1.76;41.99854,100;44.01419,3.71;115.98117,4.735;120.08187,1.985;132.08187,1.89;133.06589,1.68;134.09752,1.72;151.02231,12.52;179.01722,2.74;179.05361,1.485;222.02304,11.865;248.03869,1.715;250.05434,3.57;278.11865,1.74;312.10637,3.75;324.06999,1.79;328.10129,3.12;44.98044,1.35;72.97536,2.775;92.05057,3.515;93.03459,1.52;99.98626,2.19;104.05057,1.295;105.03459,1.47;107.05024,1.73;116.05057,1.995;119.05024,4.835;149.00666,2.2;194.02812,4.82",111025-46-8,DTXSID3044203
Methyl octanoate,CCCCCCCC(=O)OC,C9H18O2,158.24,3.339,"125.09719,100;41.00329,20.0156897904292;73.0295,4.07934551159924;107.08662,61.04449176286;31.01894,13.3923568306623;51.02402,5.50823713997535;53.00329,13.5772722178639;53.03967,6.13582875714446;55.01894,12.4005379356719;57.03459,28.5274010982853;59.01385,56.0349658186709;65.03967,7.72161828981284;67.01894,20.0549142665023;67.05532,8.73024767454892;69.03459,12.9104561246218;71.05024,9.14490642160708;83.05024,14.669954051328;93.07097,6.20867421270873;95.05024,5.79961896223243;97.06589,9.06085397287908;99.08154,7.81687773170458;123.08154,7.69360080690351",111-11-5,DTXSID2026864
Heptanoic acid,CCCCCCC(=O)O,C7H14O2,130.18,2.449,"111.08154,53.56;85.10227,7.77;41.00329,37.57;44.9982,87.64;53.03967,47.08;55.01894,30.7;57.03459,37.43;57.07097,20.91;59.01385,100;67.05532,20.05;69.03459,25.38;71.01385,51.84;81.03459,78.13;83.05024,22.84;93.07097,84.68;95.05024,83.5;109.06589,32.24",111-14-8,DTXSID2021600
2-Ethoxyethyl acetate,CCOCCOC(=O)C,C6H12O3,132.16,0.474,"43.01894,22.71;59.01385,100;89.0608,5.50333333333333;41.00329,14.02",111-15-9,DTXSID9021928
"Triethylene glycol, diacetate",CC(=O)OCCOCCOCCOC(=O)C,C10H18O6,234.25,-0.108,"59.01385,100;85.0295,16.26;87.04515,16.7566666666667;103.04007,22.62;129.05572,8.97666666666667;131.07137,7.33666666666667;147.06628,21.8566666666667;191.0925,13.2933333333333;43.01894,9.98;61.0295,3.45666666666667;101.02442,4.32;105.05572,2.28666666666667;41.00329,5.24",111-21-7,DTXSID3026223
Diethanolamine,C(CO)NCCO,C4H11NO2,105.14,-1.594,"42.03492,100;86.06114,53.7586103623839;102.05605,3.72117400419287;40.01927,29.5896975142258;43.01894,27.3247978436658;58.02984,33.9809823300389",111-42-2,DTXSID3021932
Bis(2-chloroethyl)ether,C(CCl)OCCCl,C4H8Cl2O,143.01,1.55,"34.9694,100;105.01127,0.25326319890902;76.97997,0.958503798947984",111-44-4,DTXSID9020168
Diethylene glycol,C(COCCO)O,C4H10O3,106.12,-1.398,"59.01385,98.725;61.0295,100;87.04515,78.76;41.00329,38.305;45.03459,26.315",111-46-6,DTXSID8020462
Hexanedinitrile,C(CCC#N)CC#N,C6H8N2,108.14,0.228,"90.03492,100;73.00837,42.8775287501049;40.01927,59.6575169982372;49.00837,22.8993536472761;50.00362,11.424494249979;52.01927,10.9124485855788;64.01927,83.9419121967598;66.03492,29.690254343994;88.01927,10.7949299085033",111-69-3,DTXSID3021936
2-Butoxyethanol,CCCCOCCO,C6H14O2,118.17,0.661,"59.01385,100;73.06589,83.2778147901399;43.01894,13.1578947368421;61.0295,29.8884077281812;71.05024,19.5286475682878;41.00329,18.8207861425716",111-76-2,DTXSID1024097
Diethylene glycol monomethyl ether,COCCOCCO,C5H12O3,120.15,-0.879,"59.01385,100;61.0295,30.8833333333333;43.01894,17.4066666666667",111-77-3,DTXSID3025049
"Fenpyroximate (Z,E)",CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,C24H27N3O4,421.5,4.146,"191.07137,21.4701788751998;364.13028,27.4240940254652;404.16158,100;85.0295,4.53116140007217;93.03459,36.1152636733852;135.04515,3.4795608021032;175.07645,14.9234496623537;191.10775,17.4545079643281;214.09859,5.20129903603278;287.14012,4.95386360121656;320.14045,6.84055879169029;346.11971,3.5929687097273;350.13978,3.26820970153101;352.15543,3.31460384555905;393.18198,3.46409608742719;40.01927,9.38708180834064;42.03492,5.29408732408887;57.03459,10.3046548791175;73.06589,12.2996030723233;77.03967,8.701479457704;91.05532,13.5058508170524;103.07645,9.2375895664725;105.03459,22.0165987937523;107.05024,23.2898603020774;133.0295,5.06727150884066;136.05164,11.0160317542141;149.02442,51.5490489200474;151.04007,37.8473117170988;198.06729,6.48487035414197;207.10267,13.4903861023764;242.0935,22.4393009948966;268.10915,5.08789112840868;286.08333,10.1139233981133;304.10915,15.1193360482499;348.09898,6.93334707974638",111812-58-9,DTXSID2032550
Methyl dodecanoate,CCCCCCCCCCCC(=O)OC,C13H26O2,214.34,5.615,"181.15979,100;41.00329,45.1564828614009;43.01894,2.45328442049754;73.0295,34.7357560472315;155.18052,10.2430356528717;163.14922,2.33864496159578;183.17544,11.240398945317;31.01894,6.90702739883068;44.9982,7.62352401696664;57.03459,28.562421185372;57.07097,11.1888111888112;59.01385,57.319729450877;65.03967,7.85853490771524;67.05532,13.5102602315717;69.03459,9.45202338644961;71.08662,21.5808781382552;83.05024,21.2197638427147;85.10227,6.99300699300699;95.05024,6.60323283274103;97.06589,9.93350911383698;99.08154,18.823799151668;99.11792,8.33428866215752;113.09719,14.2955405250487;125.09719,24.8481027169552;127.07645,7.8298750429898;127.11284,14.3070044709389;127.14922,14.117849363751;139.14922,6.4771294279491;153.16487,6.41407772555313;155.10775,6.5229852115098;195.17544,8.67820703886278;197.1547,7.56047231457067",111-82-0,DTXSID5026889
1-Octanol,CCCCCCCCO,C8H18O,130.23,3.127,"111.11792,28.88;99.11792,13.69;127.11284,32.71;41.03967,11.17;43.01894,100;53.03967,12.32;55.01894,14.27;55.05532,12.08;57.03459,31.23;57.07097,16.67;59.05024,6.49;67.05532,12.29;71.08662,14.61;97.10227,6.18",111-87-5,DTXSID7021940
2-(2-Ethoxyethoxy)ethanol,CCOCCOCCO,C6H14O3,134.17,-0.456,"45.03459,21.4766666666667;59.01385,100;61.0295,36.0866666666667;87.04515,7.67333333333333;43.01894,21.6833333333333",111-90-0,DTXSID2021941
Dimethyl glutarate,COC(=O)CCCC(=O)OC,C7H12O4,160.17,0.29,"41.00329,66.9647022236044;69.03459,59.2987093764578;95.01385,5.04975897994091;97.0295,100;127.04007,50.5325765821801;73.0295,33.6728347068885;83.05024,28.7358109158762;99.04515,27.9466645933758;101.0608,21.3769242730524;55.01894,4.62603016638159;67.01894,13.637070440056",1119-40-0,DTXSID3025122
Bis(2-methoxyethyl) ether,COCCOCCOC,C6H14O3,134.17,-0.36,"43.01894,70.3107302900478;73.0295,100;75.04515,74.7673216132368;57.03459,13.8966858718668;59.01385,17.7820456000394",111-96-6,DTXSID1024621
Thiacloprid,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,C10H9ClN4S,252.72,0.963,"217.02865,22.4021103812135;32.98044,49.4336109243263;34.9694,100;57.97569,76.6564940774841;58.99609,36.1247607717374;84.98659,37.3402989706719;111.99595,19.0348109450163;139.00685,50.3750064656287;141.0225,38.7885998034449;167.03815,30.3832824703874;191.013,14.6019758961361;222.98507,13.8674804738013;61.01174,5.38974809910516;123.99749,4.63973516784772;126.0116,20.1055190606735;136.9912,6.01562095898205;163.03354,4.78456525112502;199.01022,5.0328453938861;249.00072,17.3020224486629",111988-49-9,DTXSID7034961
Undecane,CCCCCCCCCCC,C11H24,156.31,6.599,"153.16487,71.3278008298755;57.07097,77.5933609958506;67.05532,61.2033195020747;71.08662,100;85.10227,52.1576763485477;97.10227,56.0995850622407;111.11792,58.7551867219917;113.13357,82.5726141078838;125.13357,70.8298755186722;127.14922,63.2365145228216",1120-21-4,DTXSID9021689
Nonanoic acid,CCCCCCCCC(=O)O,C9H18O2,158.24,3.587,"113.13357,33.09;111.11792,29.15;41.00329,16.97;43.01894,6.57;44.9982,100;53.03967,8.77;57.03459,6.1;57.07097,12.35;59.01385,55.01;65.03967,5.67;67.05532,8.8;71.01385,32.37;71.08662,8.92;81.03459,22.73;83.05024,5.83;95.05024,43.86;97.06589,5.98;109.06589,17.23;113.0608,5.35;121.10227,7.44",112-05-0,DTXSID3021641
"1,3-Propane sultone",C1COS(=O)(=O)C1,C3H6O3S,122.15,-0.786,"90.98592,2.03;80.96519,7.14;76.97027,58.08;94.98084,100",1120-71-4,NA
Pyrithione,C1=CC(=S)N(C=C1)O,C5H5NOS,127.17,-0.298,"68.98044,66.37;92.98044,70.84;94.99609,18.76;73.97061,98.12;32.98044,33.53;49.00837,41.13;50.00362,30.71;56.98044,54.53;57.97569,29.93;70.99609,88.18;80.98044,100;82.99609,32.99",1121-31-9,DTXSID3042390
2-(Hexyloxy)ethanol,CCCCCCOCCO,C8H18O2,146.23,1.799,"59.01385,100;101.09719,48.4088259423982;61.0295,23.0623083898268;41.00329,24.124530420139",112-25-4,DTXSID1026908
Triethylene glycol,C(COCCOCCO)O,C6H14O4,150.17,-1.588,"43.01894,99.23089784317;59.01385,100;61.0295,81.5331884300284;87.04515,37.9827787995319",112-27-6,DTXSID4021393
Tetraconazole,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F,C13H11Cl2F4N3O,372.14,2.808,"68.02542,100;350.00803,3.48666666666667;34.9694,18.7133333333333;41.01452,7.91;200.00393,1.91;252.01008,7.83666666666667",112281-77-3,DTXSID8034956
1-Decanol,CCCCCCCCCCO,C10H22O,158.28,4.265,"155.14414,17.23;41.03967,23.88;43.01894,100;53.03967,31.72;55.01894,41.47;55.05532,22.36;57.03459,61.89;57.07097,57.27;59.05024,17.96;67.05532,56.65;71.05024,14.05;71.08662,69.83;85.10227,20.75;97.10227,28.15;99.11792,23.28;111.11792,13.01;125.13357,15.68;127.14922,26.78;139.14922,14.4",112-30-1,DTXSID7021946
2-(2-Butoxyethoxy)ethanol,CCCCOCCOCCO,C8H18O3,162.23,0.471,"43.01894,15.7509431143316;59.01385,100;61.0295,64.2438277368991;73.06589,43.5289283980129;103.04007,16.0460165091697;105.05572,6.25630299182012",112-34-5,DTXSID8021519
10-Undecenoic acid,C=CCCCCCCCCC(=O)O,C11H20O2,184.27,4.359,"165.12849,16.2961112498959;59.01385,100;95.08662,2.55641602131734;107.08662,8.47697560163211;111.11792,2.85619118994088;139.14922,10.1174119410442;41.00329,16.22116745774;43.01894,5.91223249229744;44.9982,77.5002081772004;51.02402,13.3982846198684;53.03967,20.2098426180365;55.01894,10.5754017819968;57.03459,5.42093429927554;57.07097,7.87742526438505;63.02402,11.1166625031227;65.03967,25.8306270297277;67.05532,22.7579315513365;71.01385,9.1681239070697;71.08662,15.8381214089433;79.01894,10.0924306769923;81.03459,6.86984761428928;83.05024,7.74419185610792;93.03459,12.7487717545174;93.07097,12.9569489549505;95.05024,16.8873344991257;107.05024,8.81005912232492;109.06589,15.0637022233325;111.08154,7.87742526438505;113.09719,5.42926138729286;121.10227,8.66849862603048;135.11792,5.42093429927554;147.11792,5.47922391539679",112-38-9,DTXSID8035001
Tebufenozide,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C,C22H28N2O2,352.5,4.546,"245.12955,4.4;105.07097,100;107.08662,5.21;131.05024,2.835;133.06589,5.22;219.15029,6.59;41.99854,16.695;77.03967,3.99;91.05532,6.175;148.07679,2.68;335.1765,2.155",112410-23-8,DTXSID4034948
1-Undecanol,CCCCCCCCCCCO,C11H24O,172.31,4.834,"169.15979,17.66;41.03967,11.64;43.01894,100;53.03967,27.12;55.01894,34.44;55.05532,17.32;57.03459,45.39;57.07097,47.81;59.05024,12.71;67.05532,47.77;71.08662,66.03;85.10227,11.32;97.10227,21.39;99.11792,22.07;111.11792,19.7;113.09719,15.7;113.13357,18.72;125.13357,14.45;127.11284,11.85;139.14922,11.94",112-42-5,DTXSID0026915
Triethylene glycol dimethyl ether,COCCOCCOCCOC,C8H18O4,178.23,-0.55,"43.01894,81.418506710749;59.01385,100;61.0295,74.2826780021254;75.04515,77.3487621521628;117.05572,21.6042822844098;57.03459,10.6348644074468;73.0295,29.1022159247451;119.07137,16.6646987050813",112-49-2,DTXSID8026224
2-[2-(2-Ethoxyethoxy)ethoxy]ethanol,CCOCCOCCOCCO,C8H18O4,178.23,-0.646,"61.0295,100;71.05024,45.1121035773898;87.04515,67.1087652817251;103.04007,78.2514548653404;105.05572,52.3210177290567;115.07645,15.7937474624442;43.01894,50.0879686019759;45.03459,12.8163486263364;59.01385,45.1121035773898",112-50-5,DTXSID3024368
1-Dodecanol,CCCCCCCCCCCCO,C12H26O,186.33,5.403,"183.17544,28.2238829702655;43.01894,100;53.03967,39.2113213547464;55.01894,48.6722849419621;57.03459,65.0659882334234;57.07097,70.4404515821275;67.05532,71.4740022261091;71.08662,96.7244394975354;85.10227,29.7026554301161;97.10227,23.6603593576085;99.11792,34.9658133248529;111.11792,34.345682938464;113.09719,20.6233105422166;113.13357,29.8139608840833;125.13357,42.93210367308;127.11284,35.4746382572746;127.14922,43.5045317220544;129.12849,20.7982191127365;139.14922,19.3989505485769;141.12849,25.314040387979;167.18052,23.882970265543",112-53-8,DTXSID5026918
